last_name,first_name,player_id,year,b_total_pa,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,slg_percent,on_base_percent,on_base_plus_slg,b_catcher_interf,b_hit_by_pitch,b_out_fly,b_out_ground,b_out_line_drive,b_out_popup,
Adrianza,Ehire,501303,2021,209,29,9,2,5,42,21,.401,.325,.726,0,2,23,46,14,13,
Lagares,Juan,501571,2021,327,45,20,2,6,76,12,.372,.263,.635,0,1,39,90,22,14,
Almonte,Abraham,501659,2021,175,15,12,0,5,38,26,.399,.331,.730,0,0,18,41,12,7,
Davis,Khris,501981,2021,114,12,5,1,3,31,10,.363,.272,.635,0,0,13,29,2,7,
Pham,Tommy,502054,2021,561,68,24,2,15,128,78,.383,.340,.724,0,4,56,136,33,15,
Martinez,J.D.,502110,2021,634,90,42,3,28,150,55,.518,.349,.866,1,3,87,109,42,23,
Reddick,Josh,502210,2021,158,26,11,0,2,31,6,.371,.285,.656,0,0,22,36,12,11,
Freeman,Mike,502273,2021,65,11,0,0,0,20,5,.186,.262,.448,0,1,10,16,2,0,
Dyson,Jarrod,502481,2021,149,19,7,2,0,33,10,.289,.255,.544,0,0,9,51,13,5,
Goldschmidt,Paul,502671,2021,679,108,36,2,31,136,67,.514,.365,.879,0,4,105,120,38,32,
Gonzalez,Marwin,503556,2021,307,36,14,0,5,78,20,.304,.274,.578,0,9,25,85,18,17,
Darvish,Yu,506433,2021,55,3,2,0,0,25,0,.132,.109,.241,0,1,1,20,3,0,
Leon,Sandy,506702,2021,220,28,5,0,4,65,12,.267,.236,.504,0,3,41,44,7,11,
Altuve,Jose,514888,2021,678,103,32,1,31,91,66,.489,.350,.839,0,4,89,158,45,56,
Hernandez,Cesar,514917,2021,637,88,21,2,21,135,59,.386,.308,.694,0,5,81,155,50,17,
Segura,Jean,516416,2021,567,105,27,3,14,78,39,.436,.347,.783,0,9,62,172,30,26,
Castro,Starlin,516770,2021,346,66,20,0,3,62,26,.375,.332,.707,1,0,42,88,23,13,
Marte,Starling,516782,2021,526,103,27,3,12,99,43,.458,.382,.840,0,13,46,140,25,14,
Bumgarner,Madison,518516,2021,52,3,1,0,0,29,9,.128,.269,.397,0,1,3,4,1,1,
Culberson,Charlie,518586,2021,271,38,15,2,5,64,17,.381,.292,.672,0,2,29,68,17,12,
d'Arnaud,Travis,518595,2021,229,25,14,0,7,53,17,.388,.284,.671,0,2,28,65,15,3,
Donaldson,Josh,518626,2021,543,61,26,0,26,114,74,.475,.352,.827,0,4,75,117,21,25,
Freeman,Freddie,518692,2021,695,122,25,2,31,107,85,.503,.393,.896,0,8,98,163,40,13,
Grandal,Yasmani,518735,2021,375,35,9,0,23,82,87,.520,.419,.938,0,3,31,71,14,19,
Heyward,Jason,518792,2021,353,44,15,2,8,68,27,.347,.280,.627,0,3,37,101,23,25,
Kelly,Merrill,518876,2021,58,2,1,0,0,27,4,.085,.121,.206,0,0,1,20,0,3,
LeMahieu,DJ,518934,2021,679,125,24,1,10,94,73,.362,.349,.711,0,4,79,201,51,15,
Moreland,Mitch,519048,2021,252,30,11,1,10,58,18,.415,.286,.701,0,2,37,62,14,9,
Moustakas,Mike,519058,2021,206,20,12,0,6,46,18,.372,.282,.653,0,2,27,39,12,23,
Rizzo,Anthony,519203,2021,576,75,23,3,22,87,52,.440,.344,.783,0,23,85,143,29,32,
Romine,Austin,519222,2021,62,10,2,0,1,22,2,.300,.242,.542,0,0,9,12,2,2,
Sogard,Eric,519299,2021,180,34,6,1,1,30,9,.314,.283,.597,0,0,32,45,13,9,
Stanton,Giancarlo,519317,2021,579,85,19,0,35,157,63,.516,.354,.870,0,3,56,113,19,26,
Vogt,Stephen,519390,2021,238,27,6,1,7,56,26,.333,.282,.615,0,0,44,45,12,13,
Galvis,Freddy,520471,2021,394,56,15,1,14,77,27,.407,.299,.707,1,5,56,92,18,31,
Perez,Salvador,521692,2021,665,97,24,0,48,170,28,.544,.316,.859,0,13,93,132,33,26,
Flores,Wilmer,527038,2021,436,67,16,1,18,56,41,.447,.335,.782,0,3,82,96,31,24,
Garcia,Avisail,541645,2021,515,74,18,0,29,121,38,.490,.330,.820,0,11,55,127,28,12,
